Name,Owner,Desc,url,forks,stars,watches,created_at
play-k8s-operator,warlock,,https://github.com/warlock/play-k8s-operator,0,0,1,2020-11-15
k8s-namespace-operator,naveensrinivasan,Watches the k8s namespace and creates secret,https://github.com/naveensrinivasan/k8s-namespace-operator,0,0,2,2020-11-05
-KubeOperatorDemoCrdEnd,TachibanaGin,,https://github.com/TachibanaGin/-KubeOperatorDemoCrdEnd,0,0,1,2020-11-14
spark-on-k8s-operator,gridgentoo,Kubernetes operator for managing the lifecycle of Apache Spark applications on Kubernetes.,https://github.com/gridgentoo/spark-on-k8s-operator,0,0,2,2020-11-03
onepassword-operator,1Password,The 1Password Connect Kubernetes Operator provides the ability to integrate Kubernetes Secrets with 1Password. The operator also handles autorestarting deployments when 1Password items are updated.,https://github.com/1Password/onepassword-operator,52,372,21,2020-12-09
operator,getporter,"The Porter Operator gives you a native, integrated experience for managing your bundles from Kubernetes. It is the recommended way to automate your bundle pipeline with support for GitOps.",https://github.com/getporter/operator,11,24,4,2021-01-08
sap-btp-service-operator,SAP,SAP BTP service operator enables developers to connect Kubernetes clusters to SAP BTP accounts and to consume SAP BTP services within the clusters by using Kubernetes native tools.,https://github.com/SAP/sap-btp-service-operator,40,104,10,2021-01-27
observability-operator,redhat-developer,Operator installing the Telemetry stack in a Kubernetes cluster and installing the metrics and alerts,https://github.com/redhat-developer/observability-operator,31,14,29,2020-12-03
operator-framework-olm,openshift,A management framework for extending Kubernetes with Operators,https://github.com/openshift/operator-framework-olm,45,10,12,2020-12-02
falcon-operator,CrowdStrike,,https://github.com/CrowdStrike/falcon-operator,17,26,10,2021-01-11
paddle-operator,PaddleFlow,Elastic Deep Learning Training based on Kubernetes by Leveraging EDL and Volcano,https://github.com/PaddleFlow/paddle-operator,14,26,6,2020-12-09
volume-replication-operator,csi-addons,,https://github.com/csi-addons/volume-replication-operator,22,13,8,2021-01-29
sriov-fec-operator,smart-edge-open,,https://github.com/smart-edge-open/sriov-fec-operator,19,17,6,2020-12-07
rekor-operator,sigstore,K8S Operator for Rekor,https://github.com/sigstore/rekor-operator,11,22,5,2020-12-02
aks-operator,rancher,,https://github.com/rancher/aks-operator,20,6,23,2021-01-08
gke-operator,rancher,,https://github.com/rancher/gke-operator,16,7,24,2021-01-08
operator,storageos,,https://github.com/storageos/operator,3,8,6,2021-01-05
horusec-operator,ZupIT,Horusec Kubernetes Operator,https://github.com/ZupIT/horusec-operator,10,7,5,2020-12-23
meshsync,meshery,MeshSync one of a family of custom controllers within Meshery Operator.,https://github.com/meshery/meshsync,29,30,8,2020-12-15
xjoin-operator,RedHatInsights,,https://github.com/RedHatInsights/xjoin-operator,11,2,37,2020-12-09
binddns-operator,bind-dns,BindDns Operator creates/configures/manages bind9 dns atop Kubernetes. Bind dns for Kubernetes,https://github.com/bind-dns/binddns-operator,4,15,4,2020-12-09
netris-operator,netrisai,The Kubernetes Operator for Netris,https://github.com/netrisai/netris-operator,3,29,5,2020-12-11
edp-jenkins-operator,epam,"This operator creates, deploys, and manages the EDP Jenkins instance on Kubernetes and OpenShift. In addition, the Jenkins instance is equipped with the necessary plugins. There is also the ability to customize the Jenkins instance as well as to check the changes during the application creation",https://github.com/epam/edp-jenkins-operator,5,5,5,2020-12-24
meerkat,borchero,Kubernetes Operator for a Cloud-Native OpenVPN Deployment.,https://github.com/borchero/meerkat,4,32,2,2020-12-30
ibm-iam-policy-operator,IBM,An operator that deploys the IAM policy controller which detects the cluster administrator role and IAM role binding violations.,https://github.com/IBM/ibm-iam-policy-operator,9,1,12,2020-12-16
k8s-wso2is-operator,wso2,Identity Server Kubernetes Controller,https://github.com/wso2/k8s-wso2is-operator,5,8,61,2021-01-15
edp-keycloak-operator,epam,"It is responsible for establishing a connection to provided Keycloak Server, reconciling realms, and clients according to the created CRs",https://github.com/epam/edp-keycloak-operator,3,8,6,2020-12-24
devworkspace-che-operator,che-incubator,Experimental operator that enhances DevWorkspaces with che-specific functionalities,https://github.com/che-incubator/devworkspace-che-operator,7,0,18,2020-12-18
tf-operator,tungstenfabric,,https://github.com/tungstenfabric/tf-operator,3,4,10,2021-01-25
etcd-operator,cnych,kubernetes dev course operator project demo,https://github.com/cnych/etcd-operator,5,2,1,2021-01-03
limitador-operator,Kuadrant,,https://github.com/Kuadrant/limitador-operator,4,2,7,2020-12-15
liberator,nais,Collection of small Go libraries used by NAIS operators,https://github.com/nais/liberator,6,4,7,2021-01-15
edp-codebase-operator,epam,This operator prepares codebase repositories in order to use them in CI/CD process,https://github.com/epam/edp-codebase-operator,5,1,5,2020-12-24
trustedcerts-operator,Cray-HPE,,https://github.com/Cray-HPE/trustedcerts-operator,3,2,6,2021-01-15
kubevirt-csi-driver-operator,openshift,Operator for deploying kubevirt/csi-driver in OCP cluster,https://github.com/openshift/kubevirt-csi-driver-operator,4,0,10,2021-01-07
edp-sonar-operator,epam,It installs the Sonar EDP Component on a cluster for continuous inspection of a codebase code quality,https://github.com/epam/edp-sonar-operator,2,4,5,2020-12-24
edp-nexus-operator,epam,It installs the Nexus EDP Component on a cluster to store/manage artifacts of codebases. It also exposes configuration that allows Nexus to perform with other EDP components,https://github.com/epam/edp-nexus-operator,2,4,5,2020-12-24
gst-pipeline-operator,tinyzimmer,A Kubernetes operator for processing audio and video,https://github.com/tinyzimmer/gst-pipeline-operator,2,17,2,2021-01-23
eno,Nordix,External Network Operator,https://github.com/Nordix/eno,2,2,3,2020-12-08
edp-gerrit-operator,epam,This operator installs and manages Gerrit EDP Component in order to use it as GitProvider and store codebases code,https://github.com/epam/edp-gerrit-operator,2,3,5,2020-12-24
k3os-config-operator,annismckenzie,An operator to keep all of your k3OS node config.yaml files neatly in sync across the cluster.,https://github.com/annismckenzie/k3os-config-operator,1,10,3,2021-01-02
game-server-operator,MartinHeinz,Kubernetes Operator for easy deployment of containerized game servers.,https://github.com/MartinHeinz/game-server-operator,1,14,3,2021-01-02
assisted-service-operator,rwsu,bundle manifests for assisted-service,https://github.com/rwsu/assisted-service-operator,3,0,2,2021-01-07
cnf-app-mac-operator,rh-nfv-int,,https://github.com/rh-nfv-int/cnf-app-mac-operator,3,0,6,2021-01-25
multicluster-keycloak-operator,mdelder,,https://github.com/mdelder/multicluster-keycloak-operator,2,2,2,2021-01-31
edp-cd-pipeline-operator,epam,"This operator contains a set of controllers that are reconciled into EDP entities (e.g. Gerrit repository, Jenkins pipelines, etc.)",https://github.com/epam/edp-cd-pipeline-operator,2,2,5,2020-12-24
hostinfo-operator,cormachogan,A tutorial on how to build a Kubernetes CRD and Operator which retrieves vSphere information through govmomi API calls.,https://github.com/cormachogan/hostinfo-operator,1,7,4,2020-12-31
pinot-operator,spaghettifunk,A kubernetes operator for Apache Pinot,https://github.com/spaghettifunk/pinot-operator,0,7,4,2021-01-11
sosreport-operator,andreaskaris,,https://github.com/andreaskaris/sosreport-operator,1,6,1,2020-12-09
argocd-operator-extension,snorwin,"The argocd-operator-extension is an operator extension for the Argo CD Operator in order to automate the handling of the Kubernetes RBAC (i.e. service accounts, roles, role bindings) for multiple (restricted) Argo CD instances in a shared cluster.",https://github.com/snorwin/argocd-operator-extension,1,7,1,2021-01-09
rookout-k8s-operator,Rookout,Rookout's k8s operator,https://github.com/Rookout/rookout-k8s-operator,2,1,3,2021-01-06
terraform-operator,tmax-cloud,,https://github.com/tmax-cloud/terraform-operator,2,0,2,2021-01-27
ch-operator,xiedeyantu,clickhouse operator,https://github.com/xiedeyantu/ch-operator,1,3,1,2020-12-20
dns-endpoint-operator,dmitrievav,"It is a Kubernetes operator that helps you automatically create and update endpoints, associated with external kubernetes services, by periodically resolving a given DNS name to a list of IPs.",https://github.com/dmitrievav/dns-endpoint-operator,0,5,3,2020-12-06
edp-perf-operator,epam,"PERF Operator is responsible for integration with the Project Performance Board (PERF board), maintenance, and creation of the data source in the delivery metrics",https://github.com/epam/edp-perf-operator,2,1,7,2020-12-24
openstack-operator,ianunruh,"OpenStack clouds at scale, running on Kubernetes",https://github.com/ianunruh/openstack-operator,0,4,2,2021-01-08
edp-component-operator,epam,Manage EDP Components,https://github.com/epam/edp-component-operator,2,0,5,2020-12-24
k8s-external-database-operator,anbraten,Use externally hosted  databases in your kubernetes cluster.,https://github.com/anbraten/k8s-external-database-operator,1,6,2,2021-01-23
operator,754844887,,https://github.com/754844887/operator,0,0,1,2021-01-15
redpanda-operator,piotrkpc,,https://github.com/piotrkpc/redpanda-operator,0,3,1,2020-12-15
operator,swxlbjs,,https://github.com/swxlbjs/operator,0,1,1,2020-12-24
virtualrobot-k8s-operator,ludusrusso,,https://github.com/ludusrusso/virtualrobot-k8s-operator,0,4,1,2020-12-13
multicluster-upgrade-operator,taisho6339,Kubernetes custom controller for multicluster architecture to roll-upgrade each cluster,https://github.com/taisho6339/multicluster-upgrade-operator,0,3,2,2020-12-19
pod-network-operator,acmenezes,Custom runtime network configurations for Pods Prototype,https://github.com/acmenezes/pod-network-operator,0,3,7,2021-01-19
hypersds-operator,tmax-cloud,Hypersds-operator allows you to manage external ceph clusters located outside of Kubernetes cluster,https://github.com/tmax-cloud/hypersds-operator,1,2,6,2021-01-13
nacos-operator,liangyuanpeng,A Kubernetes Operator for Nacos,https://github.com/liangyuanpeng/nacos-operator,1,2,1,2020-12-25
application-operator,MartinHeinz,Kubernetes Operator for deploying whole applications with single CRD.,https://github.com/MartinHeinz/application-operator,0,2,2,2020-12-31
pagerduty_operator,open-strateos,A Kubernetes Operator for managing Pagerduty,https://github.com/open-strateos/pagerduty_operator,1,2,2,2021-01-26
kube-operator-demo,lfranchini31,Build a Kuberenetes operator with Operator SDK,https://github.com/lfranchini31/kube-operator-demo,0,0,1,2020-12-17
erlang-relup-k8s-operator,lrascao,K8s Operator for Erlang Release Upgrades,https://github.com/lrascao/erlang-relup-k8s-operator,1,2,2,2021-01-08
memcached-operator2,abcdsds,v1alpha memcached-operator,https://github.com/abcdsds/memcached-operator2,0,0,2,2021-01-20
tlq9-operator2,RandyWithZero,,https://github.com/RandyWithZero/tlq9-operator2,0,0,1,2021-01-20
opedemo,lanyilee,operator demo,https://github.com/lanyilee/opedemo,0,0,2,2020-12-08
widgetprocessor-operator,techjw,WidgetProcessor Operator,https://github.com/techjw/widgetprocessor-operator,0,0,1,2021-01-15
flink-operator,oikomi,flink-operator,https://github.com/oikomi/flink-operator,0,1,2,2021-01-26
consul-operator,thisisnotashwin,consul operator,https://github.com/thisisnotashwin/consul-operator,0,0,1,2020-12-02
logstash-operator,russellgao,logstash-operator,https://github.com/russellgao/logstash-operator,0,0,1,2021-01-09
promethues-operator-slos,kanzifucius,Kubernetes operator to create slos via prometheus operator rules,https://github.com/kanzifucius/promethues-operator-slos,0,1,1,2020-12-20
spark-on-k8s-operator2,wanghualei,,https://github.com/wanghualei/spark-on-k8s-operator2,0,0,1,2020-12-14
operatorlib,fyuan1316,,https://github.com/fyuan1316/operatorlib,0,0,1,2021-01-06
srs-operator,GNURub,SRS Stream Media Operator,https://github.com/GNURub/srs-operator,0,1,2,2020-12-17
memcached-operator,tofel-tech,operator-sdk noodling,https://github.com/tofel-tech/memcached-operator,0,0,2,2021-01-04
delta-operator,AndrewNeudegg,Kubernetes operator for Delta.,https://github.com/AndrewNeudegg/delta-operator,0,1,1,2021-01-16
memcached-operator,Mountains-and-rivers,k8s CRD Operator Example,https://github.com/Mountains-and-rivers/memcached-operator,0,0,0,2021-01-08
operator-lite,worroc,simple operator for testing,https://github.com/worroc/operator-lite,0,0,2,2021-01-12
sveta-sdk-operator,svetakremen,sdk operator using,https://github.com/svetakremen/sveta-sdk-operator,0,0,1,2021-01-17
service-deployment-operator,angudadevops,Kubernetes Operator Controller to deploy a Deployment and Service on Kubernetes Cluster. Operator Example with Operator SDK,https://github.com/angudadevops/service-deployment-operator,1,0,1,2021-01-04
claim-operator,tmax-cloud,,https://github.com/tmax-cloud/claim-operator,0,0,2,2021-01-14
hpa-operator,QAQ-rookie,Annotate in the workload and leave the rest to the hpa operator,https://github.com/QAQ-rookie/hpa-operator,0,0,0,2021-01-15
phoenix-operator,fearlesschenc,,https://github.com/fearlesschenc/phoenix-operator,0,0,1,2020-12-17
memcached-operator,ernesgonzalez33,,https://github.com/ernesgonzalez33/memcached-operator,0,0,1,2020-12-10
etcd-operator,xuchaoi,This is a learn test.,https://github.com/xuchaoi/etcd-operator,0,0,2,2020-12-02
scylla-operator,krzyssota,,https://github.com/krzyssota/scylla-operator,0,0,1,2021-01-13
Wordpress-operator,YannickLuts,,https://github.com/YannickLuts/Wordpress-operator,0,0,1,2020-12-14
podset-operator,DilshanDilipudara,,https://github.com/DilshanDilipudara/podset-operator,0,0,2,2020-12-07
memcached-operator,woniuzhang,,https://github.com/woniuzhang/memcached-operator,0,0,2,2021-01-04
mpi-operator,jcatana,,https://github.com/jcatana/mpi-operator,0,0,1,2021-02-01
factorio-operator,nibalizer,Kubernetes operator to manage factorio servers,https://github.com/nibalizer/factorio-operator,0,1,1,2021-01-28
operator-demo,vega-punk,,https://github.com/vega-punk/operator-demo,0,0,1,2020-12-24
operator-sample,RaffaeleTrani,,https://github.com/RaffaeleTrani/operator-sample,0,0,1,2020-12-02
memcached-operator,wychl,,https://github.com/wychl/memcached-operator,0,0,2,2021-01-14
operator-eg,qdnqn,,https://github.com/qdnqn/operator-eg,0,0,1,2021-01-15
vminfo-operator,cormachogan,,https://github.com/cormachogan/vminfo-operator,0,1,2,2021-01-18
helm-operator,snorwin,,https://github.com/snorwin/helm-operator,0,0,1,2021-01-02
jaeger-operator,juergenfl,,https://github.com/juergenfl/jaeger-operator,0,0,2,2021-02-01
observability-operator,jeremyary,Operator installing the Telemetry stack in a Kubernetes cluster and installing the metrics and alerts,https://github.com/jeremyary/observability-operator,0,0,1,2021-01-19
efk-operator,tmax-cloud,,https://github.com/tmax-cloud/efk-operator,0,0,2,2020-12-03
etcd-operator,wenhuwang,,https://github.com/wenhuwang/etcd-operator,0,0,1,2020-12-12
flagger-operator,fyuan1316,,https://github.com/fyuan1316/flagger-operator,0,0,1,2021-01-05
operator-mathew,Mathew857,,https://github.com/Mathew857/operator-mathew,0,1,1,2020-12-06
test-operator,menghao11,,https://github.com/menghao11/test-operator,0,0,2,2021-01-04
minecraft-operator,hsmade,,https://github.com/hsmade/minecraft-operator,0,1,2,2021-01-10
prometheus-operator,linclaus,,https://github.com/linclaus/prometheus-operator,0,0,2,2021-01-17
telegram-operator,odra,,https://github.com/odra/telegram-operator,0,0,1,2020-12-29
ghost-operator,vaxly,,https://github.com/vaxly/ghost-operator,0,0,2,2020-12-13
asm-operator,fyuan1316,,https://github.com/fyuan1316/asm-operator,0,0,1,2020-12-28
helloworld-operator,RandyWithZero,,https://github.com/RandyWithZero/helloworld-operator,0,0,1,2021-01-13
hello-operator,snghnaveen,,https://github.com/snghnaveen/hello-operator,0,0,1,2020-12-22
mysql-operator,RandyWithZero,,https://github.com/RandyWithZero/mysql-operator,0,0,1,2021-01-15
memcached-operator,weichenjushi,,https://github.com/weichenjushi/memcached-operator,0,0,1,2021-01-06
webproject-operator,chaunceyt,,https://github.com/chaunceyt/webproject-operator,0,0,2,2021-01-02
memcached-operator,AndrienkoAleksandr,,https://github.com/AndrienkoAleksandr/memcached-operator,0,0,2,2020-12-12
memcached-operator,zbbkeepgoing,,https://github.com/zbbkeepgoing/memcached-operator,0,0,1,2020-12-15
operator-template,shiftstack,,https://github.com/shiftstack/operator-template,0,0,8,2020-12-18
fcdinfo-operator,cormachogan,Repo for a K8s Operator that fetches information from FCDs which back PVs on vSphere,https://github.com/cormachogan/fcdinfo-operator,0,1,2,2021-01-26
postgres-operator,Cray-HPE,,https://github.com/Cray-HPE/postgres-operator,0,0,6,2021-01-19
school-operator,jackm1688,,https://github.com/jackm1688/school-operator,0,0,1,2021-01-10
Database_Operator,Minimize-the-app-upgrade-downtime,,https://github.com/Minimize-the-app-upgrade-downtime/Database_Operator,0,0,1,2021-01-20
kubemart-operator,kubemart,,https://github.com/kubemart/kubemart-operator,0,0,4,2020-12-08
github-operator,SachinMaharana,,https://github.com/SachinMaharana/github-operator,0,0,1,2020-12-10
memcached-operator,kubernetes-app,,https://github.com/kubernetes-app/memcached-operator,0,0,2,2020-12-10
test-operator,pliurh,,https://github.com/pliurh/test-operator,0,0,2,2020-12-08
memcached-operator,DilshanDilipudara,,https://github.com/DilshanDilipudara/memcached-operator,0,0,2,2020-12-04
memcached-operator,zaidenwerg,,https://github.com/zaidenwerg/memcached-operator,0,0,1,2020-12-21
operator-example,wangshulei098,,https://github.com/wangshulei098/operator-example,0,0,1,2020-12-29
redis-operator,DanielDorado,,https://github.com/DanielDorado/redis-operator,0,0,1,2021-01-24
podset-operator,justin0u0,,https://github.com/justin0u0/podset-operator,1,0,1,2021-01-30
memcached-operator,josephassiga,,https://github.com/josephassiga/memcached-operator,0,0,1,2021-01-21
OsushiOperator,iaoiui,,https://github.com/iaoiui/OsushiOperator,0,0,2,2021-01-20
memcached-operator,jmccormick2001,,https://github.com/jmccormick2001/memcached-operator,0,0,1,2020-12-05
memcached-operator,yglcode,,https://github.com/yglcode/memcached-operator,0,0,2,2021-01-03
hello-operator,mikfreeman,A basic hello operator that takes a greeting and stores it,https://github.com/mikfreeman/hello-operator,1,0,1,2021-01-19
etcd-operator,Cray-HPE,,https://github.com/Cray-HPE/etcd-operator,0,0,6,2021-01-19
memcached-operator,mikfreeman,,https://github.com/mikfreeman/memcached-operator,0,0,1,2021-01-19
helloworld-operator,sanjeevghimire,Hello world operator using Openshift and golang,https://github.com/sanjeevghimire/helloworld-operator,0,0,1,2021-01-21
operator-demo,MasayaAoyama,,https://github.com/MasayaAoyama/operator-demo,1,1,1,2020-12-17
mole-operator,zhijian-pro,,https://github.com/zhijian-pro/mole-operator,0,0,1,2020-12-14
operator-demo,JackZxj,,https://github.com/JackZxj/operator-demo,0,1,2,2021-01-08
clickpaas-operator,clickpaas,,https://github.com/clickpaas/clickpaas-operator,1,0,3,2021-01-05
podset-operator,zulhfreelancer,"A basic k8s operator for PodSet CRD, built with Go and Operator SDK",https://github.com/zulhfreelancer/podset-operator,1,1,2,2020-12-04
gcs-bucket-operator,yriveiro,Kubernetes operator for GCP Buckets,https://github.com/yriveiro/gcs-bucket-operator,1,0,2,2021-01-29
edp-admin-console-operator,epam,"This operator contains code, custom resource, CR definition, and controller that are responsible for installation, integration, and customization of Admin Console",https://github.com/epam/edp-admin-console-operator,1,1,6,2020-12-24
test-chaos-operator,uditgaurav,,https://github.com/uditgaurav/test-chaos-operator,0,0,2,2020-12-04
storm-topology-operator,of13tch,,https://github.com/of13tch/storm-topology-operator,1,0,2,2021-01-27
keepalived-allocator-operator,vlad-pbr,Operator which lets you allocate additional IPs across additional segments for Keepalived operator to use. Moved to paas-team-324/keepalived-allocator-operator,https://github.com/vlad-pbr/keepalived-allocator-operator,0,0,1,2021-01-17
springboot-vue-operator,gxin0426,,https://github.com/gxin0426/springboot-vue-operator,0,0,1,2020-12-15
wordpress-custom-operator,rewantsoni,Create a Kuberentes Operator using the operator-sdk project that deploys wordpress using on sql via a custom resource.,https://github.com/rewantsoni/wordpress-custom-operator,0,0,1,2021-01-25
pod-delete-operator,Srikrishnabh,assignment,https://github.com/Srikrishnabh/pod-delete-operator,0,0,1,2021-01-16
istio-workspace-operator,bartoszmajsak,,https://github.com/bartoszmajsak/istio-workspace-operator,0,0,1,2021-01-26
asm-operator-proj,fyuan1316,,https://github.com/fyuan1316/asm-operator-proj,0,0,1,2020-12-25
hms-trs-operator,Cray-HPE,,https://github.com/Cray-HPE/hms-trs-operator,0,0,4,2021-01-14
k3s-operator,ibrokethecloud,,https://github.com/ibrokethecloud/k3s-operator,1,1,1,2020-12-15
tlq9-operator,RandyWithZero,,https://github.com/RandyWithZero/tlq9-operator,0,0,1,2021-01-19
linkis-engine-operator,brianzhangrong,,https://github.com/brianzhangrong/linkis-engine-operator,0,0,1,2020-12-25
operator-sdk-pra,tetsu5555,,https://github.com/tetsu5555/operator-sdk-pra,0,1,2,2021-01-24
cluster-manager-operator,tmax-cloud,,https://github.com/tmax-cloud/cluster-manager-operator,0,0,2,2020-12-22
sonar-cassandra-operator,xlab-uiuc,,https://github.com/xlab-uiuc/sonar-cassandra-operator,0,0,1,2021-01-18
asm-cluster-operator,fyuan1316,,https://github.com/fyuan1316/asm-cluster-operator,0,0,1,2020-12-07
external-svc-mapping-operator,Wang-Kai,,https://github.com/Wang-Kai/external-svc-mapping-operator,0,0,3,2021-01-10
custom-busybox-operator,rewantsoni,A custom operator to create a busy box deployment,https://github.com/rewantsoni/custom-busybox-operator,0,0,1,2021-01-27
mysql-dba-operator,cuppett,,https://github.com/cuppett/mysql-dba-operator,0,0,1,2021-02-01
argo-workflows-operator,argoproj-labs,,https://github.com/argoproj-labs/argo-workflows-operator,1,0,5,2021-01-05
endpoint-service-operator,FidelityInternational,,https://github.com/FidelityInternational/endpoint-service-operator,0,0,6,2020-12-11
iam-role-operator,ponceps,,https://github.com/ponceps/iam-role-operator,0,1,0,2020-12-03
kubernetes-network-simulator-operator,jsmadis,,https://github.com/jsmadis/kubernetes-network-simulator-operator,0,0,2,2021-01-28
cluster-creds-operator,stobias123,,https://github.com/stobias123/cluster-creds-operator,0,0,1,2020-12-27
image-scanning-operator,tmax-cloud,,https://github.com/tmax-cloud/image-scanning-operator,0,0,3,2020-12-23
cluster-hosted-net-services-operator,yboaron,,https://github.com/yboaron/cluster-hosted-net-services-operator,1,1,2,2020-12-21
simple-k8s-operator,gxglls,Simple k8s operator use controller-runtime,https://github.com/gxglls/simple-k8s-operator,0,1,2,2020-12-27
cf-k8s-operator,maddinenisri,,https://github.com/maddinenisri/cf-k8s-operator,0,0,1,2021-01-21
zv13-splunk-forwarder-operator,rhdedgar,,https://github.com/rhdedgar/zv13-splunk-forwarder-operator,0,0,2,2021-01-11
virtual-service-route-controller,shibataka000,Operator to construct Istio VirtualService resource,https://github.com/shibataka000/virtual-service-route-controller,0,0,1,2020-12-25
gonmap,clobaa,Kubernetes Global ConfigMap with namespace selector,https://github.com/clobaa/gonmap,0,0,1,2020-12-29
multisite,ismewen,operator，实现wordpress的多站点,https://github.com/ismewen/multisite,0,0,1,2021-01-31
k8s-dns-manager,linka-cloud,Host DNS server and manage records inside Kubernetes Clusters,https://github.com/linka-cloud/k8s-dns-manager,1,10,1,2021-01-02
keychain,davidewatson,Keychain operator creates k8s Secrets from KeychainSecret CRDs representing internal secrets,https://github.com/davidewatson/keychain,0,0,1,2021-01-03
kube-audit-log-enricher,pjbgf,This code has been incorporated into kubernetes-sigs/security-profiles-operator,https://github.com/pjbgf/kube-audit-log-enricher,0,0,2,2021-01-29
kubebuilder-example,chenmeng1996,使用kubebuilder创建一个operator的简单demo,https://github.com/chenmeng1996/kubebuilder-example,0,0,1,2021-01-21
wasmxds,isgasho,a Kubernetes operator implementing Extension Configuration Discovery Service for Envoy Wasm extensions,https://github.com/isgasho/wasmxds,1,0,0,2020-12-18
chaosoperator,Theog75,The Chaoskube operator allows developers to consume a chaoskube object into their environment on top of Kubernetes,https://github.com/Theog75/chaosoperator,0,1,2,2020-12-03
messaging-topology-operator,rabbitmq,RabbitMQ messaging topology operator,https://github.com/rabbitmq/messaging-topology-operator,38,76,12,2021-02-16
flink-on-k8s-operator,spotify,Kubernetes operator for managing the lifecycle of Apache Flink and Beam applications.,https://github.com/spotify/flink-on-k8s-operator,64,144,13,2021-02-05
elastic-jupyter-operator,skai-x,"Cloud-native way to provide elastic Jupyter Notebooks on Kubernetes. Run remote kernels, natively.",https://github.com/skai-x/elastic-jupyter-operator,24,149,11,2021-02-26
vm-operator,vmware-tanzu,Self-service manage your virtual infrastructure...,https://github.com/vmware-tanzu/vm-operator,22,69,16,2021-02-19
kube-green,kube-green,A K8s operator to reduce CO2 footprint of your clusters,https://github.com/kube-green/kube-green,30,457,3,2021-02-21
loki-operator,ViaQ,,https://github.com/ViaQ/loki-operator,11,29,11,2021-02-12
loki-rule-operator,opsgy,Kubernetes Operator that helps configuring Alert rules for your Loki setup.,https://github.com/opsgy/loki-rule-operator,12,26,3,2021-02-27
irsa-operator,VoodooTeam,A kubernetes operator to manage AWS IAM resources needed for IRSA directly from the cluster itself,https://github.com/VoodooTeam/irsa-operator,9,22,3,2021-02-23
proactive-node-scaling-operator,redhat-cop,An operator to proactively scales Kubernetes clusters,https://github.com/redhat-cop/proactive-node-scaling-operator,12,17,12,2021-02-03
vsphere-kubernetes-drivers-operator,vmware-tanzu,vSphere Kubernetes Driver Operator to simplify and automate the lifecycle management of CSI and CPI for Kubernetes cluster running on vSphere,https://github.com/vmware-tanzu/vsphere-kubernetes-drivers-operator,9,26,20,2021-02-19
label-operator,busser,,https://github.com/busser/label-operator,8,18,2,2021-02-23
vmware-vsphere-csi-driver-operator,openshift,The vmware-vsphere-csi-driver-operator installs and maintains the VMWare vSphere CSI Driver on a cluster.,https://github.com/openshift/vmware-vsphere-csi-driver-operator,21,4,12,2021-02-24
podset-operator,caoyingjunz,A advanced  PodSet controller of Kubernetes,https://github.com/caoyingjunz/podset-operator,4,27,2,2021-02-19
distributed-compute-operator,dominodatalab,:robot: Kubernetes operator providing Ray|Spark|Dask|MPI clusters on-demand,https://github.com/dominodatalab/distributed-compute-operator,6,13,9,2021-02-05
azure-disk-csi-driver-operator,openshift,The azure-disk-csi-driver-operator installs and maintains the Azure Disk CSI Driver on a cluster.,https://github.com/openshift/azure-disk-csi-driver-operator,16,0,12,2021-02-03
port-map-operator,MOZGIII,LoadBalancer Service type implementation for home Kubernetes clusters via Port Control Protocol.,https://github.com/MOZGIII/port-map-operator,2,27,4,2021-02-13
hypercloud-multi-operator,tmax-cloud,,https://github.com/tmax-cloud/hypercloud-multi-operator,4,0,2,2021-02-25
pre-scaling-operator,chris-cmsoft,A Kubernetes Operator used for pre-scaling applications in anticipation of load,https://github.com/chris-cmsoft/pre-scaling-operator,4,0,0,2021-02-17
lotus-operator,coryschwartz,,https://github.com/coryschwartz/lotus-operator,3,0,1,2021-02-02
rating-operator-engine,Smile-SA,Kubernetes Operator to transform metrics into KPIs. Support for custom transformations rules.  - manages workloads for Rating Operator,https://github.com/Smile-SA/rating-operator-engine,1,15,7,2021-02-16
aws-account-binding-operator,opdev,Integration for helping bind AWS accounts to Kubernetes namespaces.,https://github.com/opdev/aws-account-binding-operator,2,0,4,2021-02-09
template-operator-library,flanksource,,https://github.com/flanksource/template-operator-library,2,1,11,2021-02-26
tass-operator,tass-io,Create workflow on Kubernetes,https://github.com/tass-io/tass-operator,0,4,2,2021-02-27
cortex-alert-operator,bolindalabs,K8s Operator to consume PrometheusRules as known from using Prometheus with Prometheus Operator. It then applies these Rules against a Cortex environment.,https://github.com/bolindalabs/cortex-alert-operator,0,4,2,2021-02-08
zeebe-operator-cc,camunda-community-hub,,https://github.com/camunda-community-hub/zeebe-operator-cc,1,4,1,2021-02-17
spack-operator,ArangoGutierrez,The Spack-operator manages automated builds on a distributed and heterogeneus kubernetes cluster,https://github.com/ArangoGutierrez/spack-operator,0,2,2,2021-02-05
memcached-operator,mpwusr,memcache operator template for onboarding and other Go operators,https://github.com/mpwusr/memcached-operator,0,1,1,2021-02-13
tinkerbell-operator,jacobweinstock,Tinkerbell Kubernetes Operator,https://github.com/jacobweinstock/tinkerbell-operator,0,0,1,2021-02-15
kube-dhcp,routerd,Kubernetes native DHCP Operator,https://github.com/routerd/kube-dhcp,0,1,2,2021-02-13
just-promtail-operator,huikang,Kubernetes operator for promtail,https://github.com/huikang/just-promtail-operator,0,0,1,2021-02-11
it-automation-operator,exastro-suite,IT Automation Operator,https://github.com/exastro-suite/it-automation-operator,0,0,1,2021-02-23
